"fragment_id"	"area_ha"	"connectivity"
0	415.79	215773.186611032
1	4.595	2375.81857549174
2	4.4925	3249.23470367134
3	11.075	4042.65174748249
6	14.57	8919.51688172401
8	34.505	35587.9691431364
9	0.515	1422.80850085274
10	114.6325	83516.2949593364
11	7.9625	14403.4572311029
12	0.0425	207.35579649393
13	15.4525	28844.8106332982
14	0.06	109.204122009865
15	0.8025	1113.36397142552
16	3.1325	3466.25788830902
17	0.15	84.2027299966303
18	0.1175	73.3018664300439
19	0.7875	1092.15371395373
20	0.555	818.62342760197
21	1.16	481.132916474795
22	0.25	253.886806483223
23	23.7825	32731.8686633789
24	2.8225	5113.48139712252
25	3.51	5897.21330859576
26	30	34278.2235377861
27	0.0875	260.912128879456
28	1.6	2778.77978723359
29	5.2675	13401.8261379498
30	0.1725	465.289724805734
31	0.0575	97.2783566756314
32	0.32	1532.51573734298
33	3.8125	9243.81550165072
34	14.25	24539.5653757311
35	2.3125	5125.22086842113
36	0.55	1094.32683094925
37	4.47	5416.19827355504
38	1.6775	2182.25410568435
39	0.795	818.49506164083
40	0.0575	44.1096508272559
41	4.955	6795.91536518395
42	1.1275	1787.70558509546
43	0.095	262.603090827443
44	3.0675	3208.50571583874
45	2.2	4053.62348659144
46	4.055	1687.51987342482
47	0.55	992.30197266816
48	0.8425	649.440181099503
49	3.49	5862.38782849707
50	55.2675	30394.702577503
51	0.995	782.482494583398
52	0.5	796.955539000563
53	0.2675	245.839339272476
54	0.08	142.157433164961
56	1.52	742.302777575589
57	6.3575	1092.0435410971
58	3.56	1457.93351895373
59	3.1475	1298.75707926639
61	0.785	408.979594617982
62	2	465.705351369319
63	0.495	362.214012153799
64	1.685	541.548747162179
66	35.5425	49540.4275070051
67	0.535	1472.4909348397
69	0.5175	2434.12511407321
70	1.27	4684.83553948686
71	0.05	242.560156215069
72	0.31	371.016894122399
73	0.55	1982.33325908411
74	88.015	93527.5289474706
75	26.1275	28838.7633926289
1001	5.8	8613.27824538752
1002	16.99	7290.49258841213
1003	16.725	37344.4750810072
1004	13.685	23825.1472144933
1005	16.3275	26083.6375399594
1006	9.0375	16745.8556681284
1007	3.4875	11614.0459393285
1008	4.225	5244.61086287164
1009	2.565	5463.96913712632
1010	3.3875	7071.08918040868
1011	5.5475	6523.49314900039
1012	2.9675	122.870943009
1013	7.015	1913.25934339482
1014	3.3375	5765.00789937814
1015	8.8625	11805.8398188855
1016	7.1875	4333.60219399114
1017	6.955	3962.72253959698
1018	7.485	392.335341126116
1019	5.7775	9810.40269037582
1020	6.5425	19557.7822797688
1021	2.35	1475.73493923591
1022	27.42	52826.9644219587
1023	0.3725	193.892574286511
1024	0.1425	182.714298034393
1026	2.685	346.572396622078
1027	1.165	1807.79593370689
1028	0.265	492.007082798634
1029	0.5	722.591257118419
